ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YBR133C	HSL7	1.551	2	5	NA	Protein arginine N-methyltransferase that exhibits septin and Hsl1p-dependent bud neck localization and periodic Hsl1p-dependent phosphorylation; required along with Hsl1p for bud neck recruitment, phosphorylation, and degradation of Swe1p
YGL070C	RPB9	1.544	26	15	0.747	RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site; involved in telomere maintenance
YMR060C	SAM37	1.543	NA	14	0.697	Component of the mitochondrial outer membrane sorting and assembly machinery (SAM) complex; required for the sorting of some proteins to the outer membrane after import by the TOM complex
YPL129W	TAF14	1.537	78	3	0.763	Subunit of TFIID, TFIIF, INO80, SWI/SNF, and NuA3 complexes, involved in RNA polymerase II transcription initiation and in chromatin modification; contains a YEATS domain
YJR049C	UTR1	1.532	NA	2	1.034	ATP-NADH kinase; phosphorylates both NAD and NADH; active as a hexamer; enhances the activity of ferric reductase (Fre1p)
YJR063W	RPA12	1.525	13	1	1.131	RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex
YNR051C	BRE5	1.524	17	28	0.825	Ubiquitin protease cofactor, forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A
YCR020W-B	HTL1	1.524	25	4	0.998	Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance
YNR050C	LYS9	1.52	6	NA	0.826	Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, which is the seventh step in lysine biosynthesis pathway
YCR002C	CDC10	1.519	15	1	0.925	Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM
YOR035C	SHE4	1.513	3	11	0.893	Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization
YNL107W	YAF9	1.512	28	56	0.918	Subunit of both the NuA4 histone H4 acetyltransferase complex and the SWR1 complex, may function to antagonize silencing near telomeres; interacts directly with Swc4p, has homology to human leukemogenic protein AF9, contains a YEATS domain
YER151C	UBP3	1.505	13	17	0.69	Ubiquitin-specific protease that interacts with Bre5p to co-regulate anterograde and retrograde transport between endoplasmic reticulum and Golgi compartments; inhibitor of gene silencing; cleaves ubiquitin fusions but not polyubiquitin
YAL048C	GEM1	1.503	2	NA	0.787	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death
YIL134W	FLX1	1.502	NA	1	NA	Protein required for transport of flavin adenine dinucleotide (FAD), a synthesis product of riboflavin, across the mitochondrial membrane
YKL080W	VMA5	1.491	7	4	0.678	Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane
YML041C	VPS71	1.486	17	72	0.94	Nucleosome-binding component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting
YOL090W	MSH2	1.477	14	1	0.928	Protein that forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif required for repair activity; Msh2p-Msh6p binds to and hydrolyzes ATP
YMR032W	HOF1	1.471	NA	3	0.667	Bud neck-localized, SH3 domain-containing protein required for cytokinesis; regulates actomyosin ring dynamics and septin localization; interacts with the formins, Bni1p and Bnr1p, and with Cyk3p, Vrp1p, and Bni5p
YER044C	ERG28	1.47	NA	5	NA	Endoplasmic reticulum membrane protein, may facilitate protein-protein interactions between the Erg26p dehydrogenase and the Erg27p 3-ketoreductase and/or tether these enzymes to the ER, also interacts with Erg6p
YDR364C	CDC40	1.466	16	24	0.835	Pre-mRNA splicing factor, important for catalytic step II of pre-mRNA splicing and plays a role in cell cycle progression; required for DNA synthesis during mitosis and meiosis; has WD repeats
YJR075W	HOC1	1.466	4	47	0.989	Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele
YJL115W	ASF1	1.466	19	59	0.762	Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed
YOL076W	MDM20	1.465	3	9	0.797	Non-catalytic subunit of the NatB N-terminal acetyltransferase, which catalyzes acetylation of the amino-terminal methionine residues of all proteins beginning with Met-Asp or Met-Glu and of some proteins beginning with Met-Asn or Met-Met; involved in mitochondrial inheritance and actin assembly
YOR332W	VMA4	1.46	17	1	1.023	Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane
YJL029C	VPS53	1.459	6	5	1.066	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; required for vacuolar protein sorting
YER016W	BIM1	1.457	11	158	0.921	Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally
YKL126W	YPK1	1.455	7	5	0.983	Serine/threonine protein kinase required for receptor-mediated endocytosis; involved in sphingolipid-mediated and cell integrity signaling pathways; localized to the bud neck, cytosol and plasma membrane; homolog of mammalian kinase SGK
YDR176W	NGG1	1.453	27	7	0.408	Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex
YFL023W	BUD27	1.452	2	5	0.971	Protein involved in bud-site selection, nutrient signaling, and gene expression controlled by the TOR kinase; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
YEL003W	GIM4	1.451	6	128	0.985	Subunit of the heterohexameric cochaperone prefoldin complex which binds specifically to cytosolic chaperonin and transfers target proteins to it
YJR077C	MIR1	1.451	19	1	1.025	Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2 under normal conditions
YLR064W	YLR064W	1.447	1	NA	1.015	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YLR064W is not an essential gene
YMR150C	IMP1	1.444	NA	NA	0.972	Catalytic subunit of the mitochondrial inner membrane peptidase complex, required for maturation of mitochondrial proteins of the intermembrane space; complex contains Imp1p and Imp2p (both catalytic subunits), and Som1p
YNL064C	YDJ1	1.441	6	24	0.695	Protein chaperone involved in regulation of the HSP90 and HSP70 functions; involved in protein translocation across membranes; member of the DnaJ family
YPL006W	NCR1	1.441	NA	NA	0.983	Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein
YLR111W	YLR111W	1.44	NA	NA	0.886	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YMR299C	DYN3	1.438	NA	18	1.039	Dynein light intermediate chain (LIC); localizes with dynein, null mutant is defective in nuclear migration
YLR427W	MAG2	1.435	25	NA	0.938	DNA-3-methyladenine glycosidase II that catalyzes of the hydrolysis of alkylated DNA
YEL046C	GLY1	1.432	5	1	0.938	Threonine aldolase, catalyzes the cleavage of L-allo-threonine and L-threonine to glycine; involved in glycine biosynthesis
YLR403W	SFP1	1.431	7	2	0.585	Transcription factor that controls expression of many ribosome biogenesis genes in response to nutrients and stress, regulates G2/M transitions during mitotic cell cycle and DNA-damage response, involved in cell size modulation
YBL006C	LDB7	1.427	1	4	0.824	Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions
YNR057C	BIO4	1.425	NA	NA	0.897	Dethiobiotin synthetase, catalyzes the third step in the biotin biosynthesis pathway; BIO4 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; expression appears to be repressed at low iron levels
YHR004C	NEM1	1.425	1	4	0.959	Catalytic subunit of Nem1p-Spo7p phosphatase holoenzyme, which regulates nuclear growth by controlling recruitment of Pah1p onto promoters of phospholipid biosynthetic genes; required for normal nuclear envelope morphology and sporulation
YDL081C	RPP1A	1.423	4	NA	0.576	Ribosomal stalk protein P1 alpha, involved in the interaction between translational elongation factors and the ribosome; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component
YHR031C	RRM3	1.413	NA	29	0.97	DNA helicase involved in rDNA replication and Ty1 transposition; relieves replication fork pauses at telomeric regions; structurally and functionally related to Pif1p
YJR090C	GRR1	1.41	14	8	0.683	F-box protein component of the SCF ubiquitin-ligase complex, required for Cln1p and Cln2p degradation; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, and morphogenesis
YMR014W	BUD22	1.409	6	NA	1.105	Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
YBR134W	YBR134W	1.409	NA	NA	0.992	Dubious open reading frame, unlikely to encode a functional protein; based on available experimental and comparative sequence data
YPR018W	RLF2	1.408	4	7	NA	Largest subunit (p90) of the Chromatin Assembly Complex (CAF-1) with Cac2p and Msi1p that assembles newly synthesized histones onto recently replicated DNA; involved in the maintenance of transcriptionally silent chromatin
YEL045C	YEL045C	1.408	NA	NA	0.21	Dubious open reading frame unlikely to encode a protein based on available experimental and comparative sequence data; deletion gives MMS sensitivity, growth defect under alkaline conditions, less than optimal growth upon citric acid stress
YJR152W	DAL5	1.408	NA	NA	0.959	Allantoin permease; ureidosuccinate permease; expression is constitutive but sensitive to nitrogen catabolite repression
YPL271W	ATP15	1.406	NA	2	1.05	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis
YPL024W	RMI1	1.405	NA	19	0.828	Involved in response to DNA damage; null mutants have increased rates of recombination and delayed S phase; interacts physically and genetically with Sgs1p (RecQ family member) and Top3p (topoisomerase III)
YMR017W	SPO20	1.405	NA	NA	1.066	Meiosis-specific subunit of the t-SNARE complex, required for prospore membrane formation during sporulation; similar to but not functionally redundant with Sec9p; SNAP-25 homolog
YGL136C	MRM2	1.394	NA	NA	0.973	Mitochondrial 21S rRNA methyltransferase, required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ
YJL047C	RTT101	1.392	12	6	0.914	Cullin subunit of a Roc1p-dependent E3 ubiquitin ligase complex; deletion phenotype suggests a role in anaphase progression; interacts with Mms22p and implicated in Mms22-dependent DNA repair; modified by the ubiquitin-like protein, Rub1p
